id,input_text,labels
kzp_train_0001,ерден ердің қаупі бар,O O O PERIOD
kzp_train_0002,ақылдының ақылы сарқылмайтын көлмен тең,O O O O PERIOD
kzp_train_0003,мал бетіне қараған жан жарынан айырылар,O O O O O PERIOD
kzp_train_0004,еңбек түбі береке көптің түбі мереке,O O COMMA O O PERIOD
kzp_train_0005,түйе сойған ешкі сойғаннан дәметіпті,O O O O PERIOD
kzp_train_0006,жарауы жаман жүйріктен жарауы жақсы жабы озар,O O COMMA O O O PERIOD
kzp_train_0007,қой үріккен жағына беттемейді,O O O PERIOD
kzp_train_0008,өткір қылыш тәнді жаралайды өткір сөз жанды жаралайды,O O O COMMA O O O PERIOD
kzp_train_0009,қатын өлсе үйің кетеді басыңнан күйің кетеді,O COMMA O COMMA O O PERIOD
kzp_train_0010,бірліктен бездіретін де әйел сұмдықты сездіретін де әйел,O O O COMMA O O O PERIOD
kzp_train_0011,жақсы ай мен күндей әлемге бірдей,O O O COMMA O PERIOD
kzp_train_0012,жорға мінген жолдасына қарамас,O O O PERIOD
kzp_train_0013,қыңыр кісіден түзу сөз шықпайды,O O O O PERIOD
kzp_train_0014,тәуекелсіз дария кешпек жоқ,O O O PERIOD
kzp_train_0015,бір ақылды мың пәледен құтқарады,O O O O PERIOD
kzp_train_0016,жаманнан қарыз алсаң тар жерде жаныңды алар,O O COMMA O O O PERIOD
kzp_train_0017,жаулығы бар деп қатын деме жалыны бар деп отын деме,O O COMMA O COMMA O O COMMA O PERIOD
kzp_train_0018,ежелгі дұшпан ел болмас етектен кескен жең болмас,O O O COMMA O O O PERIOD
kzp_train_0019,ағайын ащы мал тұщы,O COMMA O PERIOD
kzp_train_0020,есігі жаманның үйіне барма шешесі жаманның қызын алма,O O O COMMA O O O PERIOD
kzp_train_0021,бүкірдің белін қабір түзетеді,O O O PERIOD
kzp_train_0022,көңіл дария көз найза,O COMMA O PERIOD
kzp_train_0023,өзіңді олжалатпай өзгені олжалай алмайсың,O COMMA O O PERIOD
kzp_train_0024,қызығы жоқ өмірден ұйқыда көрген түс артық,O O O O O O PERIOD
kzp_train_0025,балығы жоқ көл қысыр балы жоқ гүл қысыр,O O O COMMA O O O PERIOD
kzp_train_0026,бала жасындағысын ұмытпайды таз басындағысын ұмытпайды,O O COMMA O O PERIOD
kzp_train_0027,біткен істің міні жоқ бітірген ердің кемі жоқ,O O O COMMA O O O PERIOD
kzp_train_0028,арасында мұрын болмаса екі көз бірін-бірі шұқыр еді,O O COMMA O O O O PERIOD
kzp_train_0029,ел намысы ер намысы,O O O PERIOD
kzp_train_0030,сараң да бір сасық су да бір,O O COMMA O O O PERIOD
kzp_train_0031,келесі сабақ қашан және қай жерде,O O O O O QUESTION
kzp_train_0032,байлық неге керек адалдан мал жимасаң билік неге керек әділ билік құрмасаң,O O COMMA O O COMMA O O COMMA O O PERIOD
kzp_train_0033,жағымсызды жақыны да жарылқамас,O O O PERIOD
kzp_train_0034,қарыздан да қатын ал қатының жаныңда қалады,O O O COMMA O O PERIOD
kzp_train_0035,жақсылықты көп қуған байлыққа жолығар,O O O O PERIOD
kzp_train_0036,дос көтерер көңілді мал көтерер өлімді,O O COMMA O O PERIOD
kzp_train_0037,ашқа тартқан кешке тартады,O O O PERIOD
kzp_train_0038,тікен гүлін қорғайды ара балын қорғайды,O O COMMA O O PERIOD
kzp_train_0039,қас жақсының белгісі әрі мырза әрі құл,O O O O COMMA O PERIOD
kzp_train_0040,анасы қыз болмаған атасы жігіт болмаған,O O COMMA O O O
kzp_train_0041,өзіңді бір рет сыйлағанға екі рет құрмет ет,O O O O O O O PERIOD
kzp_train_0042,ескісіз жаңа болмас жамансыз жақсы болмас,O O COMMA O O PERIOD
kzp_train_0043,ақылды қызға ана көп аяулы жанға пана көп,O O O COMMA O O O PERIOD
kzp_train_0044,алаша деп аттанамыз боқжама да болса ала береміз,O O COMMA O O O O PERIOD
kzp_train_0045,у ішкен бір өледі ант ішкен мың өледі,O O O COMMA O O O PERIOD
kzp_train_0046,ұяда нені көрсе ұшқанда соны іледі,O O COMMA O O PERIOD
kzp_train_0047,пәлелі жерді баспа басыңа түссе саспа,O O COMMA O O PERIOD
kzp_train_0048,басты бұзған балта істі бұзған маңқа,O O COMMA O O PERIOD
kzp_train_0049,ер болсаң бопсаға шыда,O COMMA O PERIOD
kzp_train_0050,сегізбін деме тоғызға жолығарсың тоғызбын деме доңызға жолығарсың,O COMMA O COMMA O COMMA O PERIOD
kzp_train_0051,жас құрақ жердің көркі ынтымақ елдің көркі,O O O COMMA O O PERIOD
kzp_train_0052,айырылған азады қосылған озады,O COMMA O PERIOD
kzp_train_0053,еңбек асырар жалқаулық берекені қашырар,O COMMA O O PERIOD
kzp_train_0054,адал дегенше адам де,O COMMA O PERIOD
kzp_train_0055,саңырау ауызға қарайды соқыр дауысқа қарайды,O O COMMA O O PERIOD
kzp_train_0056,жолдасын тастаған жолда қалар,O O O PERIOD
kzp_train_0057,ат аунаған жеріне ер туған жеріне,O O COMMA O O PERIOD
kzp_train_0058,бес саусақ бірдей емес,O O O PERIOD
kzp_train_0059,алтын күміс жауған жерден де туып-өскен ел артық,COMMA O O O O O O PERIOD
kzp_train_0060,қазақтың салт-дәстүрлері ежелден келе жатыр,O O O O PERIOD
kzp_train_0061,ақынның дауға септігі жоқ балуанның жауға септігі жоқ,O O O COMMA O O O PERIOD
kzp_train_0062,қараңғы үйде қабан күркірейді,O O O PERIOD
kzp_train_0063,шайтан менен жын басқа бәйбіше менен күң басқа,O O O COMMA O O O PERIOD
kzp_train_0064,ақылды адам сағыңды сындырмас ақымақ адам жағыңды тындырмас,O O O COMMA O O O PERIOD
kzp_train_0065,отырған қыз орнын табар,O O O PERIOD
kzp_train_0066,нәсілі жаман сиырдан өлі бұзау туады,O O O O O PERIOD
kzp_train_0067,ақылды адам айтқызбай біледі ақ сұңқар қаққызбай іледі,O O O COMMA O O O PERIOD
kzp_train_0068,адамнан тілеген қариды құдайдан тілеген жариды,O O COMMA O O PERIOD
kzp_train_0069,жетім бота жетекке ергіш,O O O PERIOD
kzp_train_0070,бас бергенге ас бер,O O O PERIOD
kzp_train_0071,жаңа дос келгенде ескі достың көзінен жас шығады,O O COMMA O O O O PERIOD
kzp_train_0072,сөз жүйесін тапса мал иесін табады,O O COMMA O O PERIOD
kzp_train_0073,быламықты ішкенде тіссіз кәрі елестер өткендегі істің бәрі,O O O COMMA O O O PERIOD
kzp_train_0074,арғымақ бірде жалды бірде жалсыз ер жігіт бірде малды бірде малсыз,O O COMMA O COMMA O O O COMMA O PERIOD
kzp_train_0075,оқу білім береді ақыл бермейді,O O COMMA O PERIOD
kzp_train_0076,жаман жігіт жасында да шал,O O O O PERIOD
kzp_train_0077,құланның қашуына мылтықтың басуы,O O O PERIOD
kzp_train_0078,балықшының қонағы жүре тояр,O O O PERIOD
kzp_train_0079,жақсымен жолдас болсаң жаның қалар жаманмен жолдас болсаң жаныңды алар,O O COMMA O COMMA O O COMMA O PERIOD
kzp_train_0080,надан кісі сусыз арыққа ұқсайды ілімді кісі аққан дарияға ұқсайды,O O O O COMMA O O O O PERIOD
kzp_train_0081,зинақор әйелден өтірікші бала туады,O O O O PERIOD
kzp_train_0082,ер өлсе де аты өлмейді,O O COMMA O PERIOD
kzp_train_0083,аяз би әліңді біл құмырсқа жолыңды біл,O O O COMMA O O PERIOD
kzp_train_0084,қойшының қызы қой келгенде жүн түтеді,O O O O O PERIOD
kzp_train_0085,өсек еккен өкініш орады,O O O PERIOD
kzp_train_0086,бір жоқ бір жоқты табады,O O O O PERIOD
kzp_train_0087,алтын тісті ауыздан аса жаман сөз шығар,O O O O O O PERIOD
kzp_train_0088,ақылда баға жоқ тәрбиеде шек жоқ,O O COMMA O O PERIOD
kzp_train_0089,алғыға қарап пікір ет артқыға қарап шүкір ет,O COMMA O COMMA O COMMA O PERIOD
kzp_train_0090,бұлт шығып жаңбыр жаумай елді алдайды әйелдің айлакері ерді алдайды,O COMMA O COMMA O COMMA O O O PERIOD
kzp_train_0091,өтіріктің өзіне нанба ақсақты тыңдай,O O COMMA O PERIOD
kzp_train_0092,ары таза жігіттің жаны таза,O O O O PERIOD
kzp_train_0093,досы көпті жау алмайды ақылы көпті дау алмайды,O O O COMMA O O O PERIOD
kzp_train_0094,жақсы кісі мақтанса жаманнан жата беріп қалдым дер,O O COMMA O O O O PERIOD
kzp_train_0095,түйе көп болса жүк сыймайды жігіт көп болса жұмыс бітпейді,O O COMMA O COMMA O O COMMA O PERIOD
kzp_train_0096,ақ байпақтан сиыр өлер,O O O PERIOD
